i_name,v_count,e_count,size1,time1,threshold1,size2a,time2a,threshold2,size2b,time2b
frb30-15-1,450,17827,12,900.019,13,14,0.007,11,12,0.453
frb30-15-2,450,17874,11,900.012,13,12,0.001,13,12,0.001
frb30-15-3,450,17809,12,900.005,13,13,0.001,11,12,1.132
frb30-15-4,450,17831,12,900.093,13,12,0.001,13,12,0.001
frb30-15-5,450,17794,12,900.045,13,13,0.001,11,12,1.145
frb35-17-1,595,27856,14,900.15,15,14,0.001,15,14,0.001
frb35-17-2,595,27847,14,900.069,15,15,0.001,13,14,133.841
frb35-17-3,595,27931,14,900.175,16,14,0.001,16,14,0.001
frb35-17-4,595,27842,14,900.134,18,15,0.001,18,15,0.001
frb35-17-5,595,28143,13,900.005,15,14,0.001,15,14,0.001
frb40-19-1,760,41314,16,900.072,17,17,0.001,15,16,6.525
frb40-19-2,760,41263,16,900.181,18,17,0.001,18,17,0.001
frb40-19-3,760,41095,16,900.039,18,17,0.001,18,17,0.001
frb40-19-4,760,41605,16,900.175,18,17,0.001,18,17,0.001
frb40-19-5,760,41619,15,900.296,17,16,0.001,17,16,0.001
frb45-21-1,945,59186,18,900.004,19,18,0.002,19,18,0.002
frb45-21-2,945,58624,18,900.118,20,19,0.002,20,19,0.002
frb45-21-3,945,58245,17,900.122,19,18,0.002,19,18,0.002
frb45-21-4,945,58549,18,900.075,19,19,0.002,17,18,13.798
frb45-21-5,945,58579,18,900.066,,,,,,
